dt,neg,neu,pos,compound,volume
"2021-11-30 01:14:01",0.0400138907,0.8360810280,0.1239050925,0.2737585604,432
"2021-11-30 01:15:00",0.0444693342,0.8283466697,0.1271653324,0.2461216003,375
"2021-11-30 01:16:00",0.0382237211,0.8358814120,0.1258894950,0.2453466356,371
"2021-11-30 01:17:00",0.0300501324,0.8589525223,0.1110158339,0.2408474982,379
"2021-11-30 01:18:00",0.0372912623,0.8291674852,0.1335436851,0.2520730495,412
"2021-11-30 01:19:00",0.0382257290,0.8359490037,0.1258325279,0.2570036352,412
"2021-11-30 01:20:00",0.0329209864,0.8423308730,0.1247604936,0.2670572698,405
"2021-11-30 01:21:00",0.0369840860,0.8366976380,0.1263236105,0.2467294484,377
"2021-11-30 01:22:00",0.0291763078,0.8438925743,0.1269394010,0.2609876096,363
"2021-11-30 01:23:00",0.0395432450,0.8429486752,0.1174999997,0.2284116149,370
"2021-11-30 01:24:00",0.0313689858,0.8485481143,0.1200882345,0.2722277939,374
"2021-11-30 01:25:00",0.0311026387,0.8473020792,0.1215982437,0.2616085112,341
"2021-11-30 01:26:00",0.0367927924,0.8447027206,0.1185045019,0.2001014948,333
"2021-11-30 01:27:00",0.0416246653,0.8338016272,0.1245790869,0.2475396842,373
"2021-11-30 01:28:00",0.0337256417,0.8368564248,0.1294461489,0.2646328211,390
"2021-11-30 01:29:00",0.0373573415,0.8349362612,0.1277036071,0.2646864355,361
"2021-11-30 01:30:00",0.0368917659,0.8500306010,0.1130941212,0.2429835349,425
"2021-11-30 01:31:00",0.0311409924,0.8390391469,0.1298328936,0.2994728386,383
"2021-11-30 01:32:00",0.0425967760,0.8392822742,0.1181182787,0.2387139797,372
"2021-11-30 01:33:00",0.0382068045,0.8319240808,0.1298691034,0.2855138779,382
"2021-11-30 01:34:00",0.0338811874,0.8470049500,0.1191138625,0.2856853902,404
"2021-11-30 01:35:00",0.0321939886,0.8316830397,0.1361092925,0.3076018989,366
"2021-11-30 01:36:00",0.0407968760,0.8436968923,0.1155093759,0.2303050011,320
"2021-11-30 01:37:00",0.0335966572,0.8378759027,0.1285202801,0.2876556218,419
"2021-11-30 01:38:00",0.0348333344,0.8496292830,0.1155402288,0.2165221274,348
"2021-11-30 01:39:00",0.0357057154,0.8343885541,0.1298885643,0.2720045745,350
"2021-11-30 01:40:00",0.0375663713,0.8459026814,0.1165280268,0.2537271380,339
"2021-11-30 01:41:00",0.0248947367,0.8513655066,0.1237397641,0.2811652124,342
"2021-11-30 01:42:00",0.0316037722,0.8410404325,0.1273531020,0.2673929930,371
"2021-11-30 01:43:00",0.0311562493,0.8310596347,0.1378068179,0.3157761395,352
"2021-11-30 01:44:00",0.0358542278,0.8305218816,0.1336268187,0.2846052349,343
"2021-11-30 01:45:00",0.0302887708,0.8427085280,0.1270294189,0.2888561487,374
"2021-11-30 01:46:00",0.0342048518,0.8433369398,0.1224690005,0.2482126653,371
"2021-11-30 01:47:00",0.0333994702,0.8411296010,0.1254761964,0.2470391542,378
"2021-11-30 01:48:00",0.0390000008,0.8360747695,0.1249097958,0.2160822153,388
"2021-11-30 01:49:00",0.0392165780,0.8221604228,0.1386069506,0.2554949224,374
"2021-11-30 01:50:00",0.0375661962,0.8400394320,0.1224112660,0.2514411211,355
"2021-11-30 01:51:00",0.0437507145,0.8254928589,0.1307593137,0.2772151828,349
"2021-11-30 01:52:00",0.0343226828,0.8263578415,0.1393098980,0.3088865876,313
"2021-11-30 01:53:00",0.0342771076,0.8251234889,0.1405993998,0.3252159655,332
"2021-11-30 01:54:00",0.0324828513,0.8158733249,0.1516437978,0.3370393217,379
"2021-11-30 01:55:00",0.0256989524,0.8498612642,0.1244345531,0.2813952863,382
"2021-11-30 01:56:00",0.0428668633,0.8164881468,0.1406597644,0.2640106380,338
"2021-11-30 01:57:00",0.0358067900,0.8377597928,0.1264308095,0.2581942677,383
"2021-11-30 01:58:00",0.0301277786,0.8334194422,0.1364555508,0.3447044492,360
"2021-11-30 01:59:00",0.0402005725,0.8268624544,0.1329312325,0.3120730519,349
"2021-11-30 02:00:00",0.0390581638,0.8453959823,0.1155682355,0.2403266281,447
"2021-11-30 02:01:00",0.0395683646,0.8304209113,0.1300134063,0.2887493372,373
"2021-11-30 02:02:00",0.0347122923,0.8508072495,0.1145167574,0.2297028005,358
"2021-11-30 02:03:00",0.0375809260,0.8481531739,0.1142658964,0.2043997049,346
"2021-11-30 02:04:00",0.0314550884,0.8608382940,0.1077185646,0.2130398154,334
"2021-11-30 02:05:00",0.0349719897,0.8553697467,0.1096638665,0.2480787188,357
"2021-11-30 02:06:00",0.0306052640,0.8349210620,0.1344678402,0.2611330450,342
"2021-11-30 02:07:00",0.0343116522,0.8518997431,0.1137940362,0.2249490470,369
"2021-11-30 02:08:00",0.0305599999,0.8497114182,0.1197285727,0.2591048479,350
"2021-11-30 02:09:00",0.0264190752,0.8539248705,0.1196762994,0.2638199329,346
"2021-11-30 02:10:00",0.0316666663,0.8620262742,0.1063018367,0.2304005176,381
"2021-11-30 02:11:00",0.0308749992,0.8429974318,0.1261377484,0.2605487108,392
"2021-11-30 02:12:00",0.0276318677,0.8517170548,0.1206538454,0.2621041238,364
"2021-11-30 02:13:00",0.0314203314,0.8434560299,0.1251263767,0.2828233540,364
"2021-11-30 02:14:00",0.0237045456,0.8446449041,0.1316391975,0.3113988638,352
"2021-11-30 02:15:00",0.0321074612,0.8339045048,0.1339910477,0.2883176208,335
"2021-11-30 02:16:00",0.0285868272,0.8504910469,0.1209101826,0.2726931274,334
"2021-11-30 02:17:00",0.0345544890,0.8263044953,0.1391442269,0.2927717865,312
"2021-11-30 02:18:00",0.0259835534,0.8497302532,0.1242927611,0.2615855336,304
