dt,block_hash,block_interval,pending_tx_count,day_tx_count,avg_tx_per_block,hashrate,block_height
"2021-11-30 01:15:05",00000000000000000008ea43b8e1665d06c3003edc7516d32af2c2ef713aa6e9,572.0540771484,2263,309698,970.5178833008,711919,2147483647
"2021-11-30 01:16:42",00000000000000000002170d4b2aab21130dded8db8ba94f56adc1ca2e7b3490,572.0540771484,2263,309698,970.5178833008,711920,2147483647
"2021-11-30 02:00:32",00000000000000000007ddecc8d6956d5175550272d9861c4306e754a9fb95a3,579.9791870117,962,303461,970.5184936523,711921,2147483647
"2021-11-30 02:08:39",00000000000000000006a58f8dadcf3ec293db0b6aade173f73ebb19c2182668,589.2797241211,962,305442,970.5211181641,711922,2147483647
"2021-11-30 02:21:52",0000000000000000000173c0ba08a2d19e1ba1ae33a0c293aad9154020599747,588.5693969727,962,308216,970.5236816406,711923,2147483647
"2021-11-30 02:38:06",0000000000000000000379084c6d70e15b4ab3697050d177860992562aae550e,589.0277709961,5362,308708,970.5269165039,711924,2147483647
"2021-11-30 02:45:02",0000000000000000000bc4c21a1044afd897208babdf9341cf09c3da72f208b9,591.6828002930,4110,311810,970.5299072266,711925,2147483647
"2021-11-30 03:03:15",000000000000000000043a92e24d5580e6c46fcd6df3df9078ef3968932759ef,581.6896972656,2453,310717,970.5313110352,711926,2147483647
"2021-11-30 03:24:22",0000000000000000000334115a3f7b9d3fcaef645c50b5e2d5966c4900455705,582.9724121094,2639,311504,970.5344238281,711927,2147483647
"2021-11-30 03:25:00",0000000000000000000bdaee14cc551946f0902126f4fddc9ca180c31b065f82,587.6574707031,1504,311504,970.5371093750,711928,2147483647
"2021-11-30 03:25:50",000000000000000000009dbe7507be578f122d7391b1755cfb4daf9a1563b8eb,587.6574707031,1504,314393,970.5371093750,711929,2147483647
"2021-11-30 03:33:46",00000000000000000004966529b45cd6f09f9634d53fc586e1e7e81284a86813,587.6574707031,1504,314393,970.5371093750,711930,2147483647
"2021-11-30 03:35:18",0000000000000000000183642d89bac21de49558c349ddd906e7efb1bac79709,578.5637817383,1504,311765,970.5363159180,711931,2147483647
"2021-11-30 04:00:29",0000000000000000000c928c9fa060f431b1a4066a39433a6a86dca97821ba64,572.6530761719,2638,309485,970.5363159180,711932,2147483647
"2021-11-30 04:05:42",0000000000000000000ba4a3dfb65948b8acb1da6034b244b7559a30a054a4d0,572.6530761719,2638,309485,970.5363159180,711933,2147483647
"2021-11-30 04:05:57",000000000000000000036fe305eda14654e0ca52251414ff53d832487d819e1e,572.6530761719,2638,309485,970.5363159180,711934,2147483647
"2021-11-30 04:27:12",0000000000000000000156d5b83adfbd8db5053f5a15cb8e6084e42a6b982193,562.4392089844,3511,308794,970.5399169922,711935,2147483647
"2021-11-30 04:28:50",000000000000000000053587dc846cb3fdfa4f496cb31f66e1fc967f50381109,562.4392089844,3511,308794,970.5399169922,711936,2147483647
"2021-11-30 04:42:15",00000000000000000004a6f4e5ebe2c77363955fa394144d726638eac7eac6ad,564.0933227539,2404,313596,970.5440063477,711937,2147483647
"2021-11-30 04:58:33",0000000000000000000153d7e3029401f0ec8e2fa70e91e749e07aa624aeb9ba,566.2399902344,3690,312987,970.5465087891,711938,2147483647
"2021-11-30 05:05:22",000000000000000000060b7658f1252b54096db9f0ca26da990159327f2f2526,568.9669189453,3690,316228,970.5496826172,711939,2147483647
"2021-11-30 05:17:06",00000000000000000004d626b500bd0ee8a18b2cdc6a2c426e17a2e8b4d93d6a,573.5338134766,2008,310720,970.5510253906,711940,2147483647
"2021-11-30 05:48:34",000000000000000000076553d391b761e05fa1e6a02f15c52f3be6a5dcc36fe3,567.6149291992,1651,310776,970.5535278320,711941,2147483647
"2021-11-30 06:01:54",0000000000000000000b38e517826435236c5df2a825c6bc81d2afb1cec42123,572.4392089844,1651,310439,970.5565795898,711942,2147483647
"2021-11-30 06:11:05",0000000000000000000364073af770578d7c49fcb09c15c2b661687aa88dd06d,573.9663696289,1651,313890,970.5601196289,711943,2147483647
"2021-11-30 06:24:54",00000000000000000004508248083b0525f46f6961f43730e133f8fe57f59f87,572.1544189453,4855,314663,970.5640258789,711944,2147483647
"2021-11-30 06:39:48",00000000000000000001da4ae057fa59f45cf1351e7cb8ffe588e668a70c55f0,572.0670776367,5390,314771,970.5670166016,711946,2147483647
"2021-11-30 06:54:12",00000000000000000004c65f157c0e7fdb39de43569df45f4663d0ee71885904,572.0737915039,3967,315648,970.5704956055,711947,2147483647
"2021-11-30 07:01:52",000000000000000000061f2fa75c59b8fe3d03d4b1d41b5d39f640dafe8fc60a,571.6486206055,2725,312811,970.5704956055,711948,2147483647
"2021-11-30 07:16:49",000000000000000000012eb5ae1817c4b255e7c3b88de5ad49def0d7823f5805,576.6892089844,2495,312159,970.5750122070,711949,2147483647
"2021-11-30 07:24:21",000000000000000000030a12916ab80e16f0906f5df382bec9b82d1eb0a90afe,579.7448120117,1767,308637,970.5750122070,711950,2147483647
"2021-11-30 07:29:05",000000000000000000051505c529ed7d471084dec112bb59f0b756c640a37e9a,581.0339965820,1767,313843,970.5795898438,711951,2147483647
"2021-11-30 07:42:15",00000000000000000006e56c1c89ce628a6fe7dc31edd608ced26043c2baaa3b,581.2244873047,1674,312345,970.5805053711,711952,2147483647
"2021-11-30 07:48:31",000000000000000000054d3afa7a90a6c5cb22808c13d453699df0dc62a65020,585.5548095703,1674,308889,970.5834960938,711953,2147483647
"2021-11-30 07:50:41",0000000000000000000be7ad08ce426343f03c70facad6439dc9665ef626efba,585.5548095703,1674,312010,970.5834960938,711954,2147483647
"2021-11-30 07:52:27",00000000000000000009617cc0828881d03142769d2ba3f4c5640f6db0b2e27a,585.5548095703,1674,312010,970.5834960938,711955,2147483647
"2021-11-30 07:55:48",0000000000000000000c142dc599bc956e31bb694da8e8d9f2a2f63dd87516cb,585.5548095703,1398,312010,970.5834960938,711956,2147483647
"2021-11-30 08:05:35",00000000000000000005c6e73c359163ffa2219a07487e8db846a49200dc144a,578.9796752930,1398,310981,970.5828247070,711957,2147483647
"2021-11-30 08:20:21",00000000000000000001a0c6c71329b1a530af1f34612787ca9322ef2a1b2c2c,580.2465820312,1555,310910,970.5848999023,711958,2147483647
"2021-11-30 08:26:32",000000000000000000089143c0c9316191db9514f59277d8d50f048803e3471a,582.3264770508,657,312501,970.5880737305,711959,2147483647
"2021-11-30 08:29:49",000000000000000000064459d00fab7197da138a56415fdaaf59f61901c345ef,582.3264770508,657,312501,970.5880737305,711960,2147483647
"2021-11-30 08:40:41",000000000000000000067390bc324fa364c4ed03cc87771ccb08878d6750e386,579.7891235352,1666,311980,970.5895996094,711961,2147483647
"2021-11-30 08:54:32",00000000000000000009c4e42761077491c5f192687edc3e2e88d6f524f19b23,577.4149780273,1666,312390,970.5919189453,711962,2147483647
"2021-11-30 09:39:25",0000000000000000000a056cb2b8feaa0313ecc9659eb2aa29714659a0e5b66d,579.9509887695,1228,301647,970.5939941406,711963,2147483647
"2021-11-30 09:40:19",00000000000000000003e1883b2b8fd61d557e8ff08f89bdec188544100cc447,579.9509887695,1228,301647,970.5939941406,711964,2147483647
"2021-11-30 09:46:17",000000000000000000002902cac7ad946284aaa9cf12d3428c9e68958f67227f,579.9509887695,1228,301647,970.5939941406,711965,2147483647
"2021-11-30 10:11:08",00000000000000000005ebd8142458c14ed657bb0d59d457e6b0e19f85705036,579.9514160156,9198,306028,970.6044921875,711966,2147483647
"2021-11-30 10:25:34",00000000000000000008a6498783512ce1c11ede70e54b878023c978fed54b5c,586.2344970703,11441,308456,970.6066284180,711967,2147483647
"2021-11-30 10:30:45",00000000000000000002048d11bdc32f1ab1b5d365d8570c5559451d58822f18,586.2344970703,7642,308456,970.6066284180,711968,2147483647
"2021-11-30 10:33:21",00000000000000000000df8115cd890f212294ee649c41f97b5819da38a88165,586.2344970703,7642,308456,970.6066284180,711969,2147483647
"2021-11-30 10:34:53",00000000000000000009713c0ea99331ceb6bfe948cdc982710c1027cb32a32d,583.7958984375,7642,313539,970.6140136719,711971,2147483647
"2021-11-30 10:52:09",0000000000000000000854066bcd4d35ad52742aee0b68be69f1d422d3cedb0e,574.8107910156,10911,317193,970.6198120117,711973,2147483647
"2021-11-30 11:13:38",0000000000000000000b2e3d7d8197d9be4b8b43fdcea261d29169c187630e22,567.6375732422,5551,318355,970.6257934570,711975,2147483647
"2021-11-30 11:21:05",000000000000000000003d9060bbeb5e30f355e4f11153e1de9c292398f3ede2,568.7332763672,5551,321173,970.6284179688,711976,2147483647
"2021-11-30 11:58:31",0000000000000000000625e2905c0a6f8af567ad5f35c9e299256bea3118ac9f,567.1892089844,6132,314278,970.6309814453,711977,2147483647
