dt,block_hash,block_interval,pending_tx_count,day_tx_count,avg_tx_per_block,hashrate,block_height
"2021-12-01 06:38:47",00000000000000000006ef2643254d0d832a1c7cb15e0ee45a61180d0e26434b,656.3281860352,17553,291387,970.7990722656,712079,2147483647
"2021-12-01 06:38:23",00000000000000000005fe9a5f45655e1169519939fb831d9c49e1626e93ace0,656.3281860352,17553,291387,970.7990722656,712078,2147483647
"2021-12-01 06:32:47",00000000000000000006e0c7d1542913e86860ac0e06c580bc00da5f609999cc,656.4846191406,17553,291013,970.7971801758,712077,2147483647
"2021-12-01 06:20:03",0000000000000000000c2780b17ba15bc3ac093dfcf2630acff837ea54f5f8b4,660.4030761719,8588,287024,970.7899169922,712075,2147483647
"2021-12-01 06:13:23",00000000000000000003c65dc01453e5288ca4de8eb22b4ec9e48f8b89a9f81e,660.4030761719,8588,287024,970.7899169922,712074,2147483647
"2021-12-01 05:05:56",000000000000000000083c543010fc9284fcd0562b1f8c76368b714f9d02b5d8,648.9846801758,7612,294775,970.7850952148,712072,2147483647
"2021-12-01 04:54:03",00000000000000000004cc03a41f521a18e3c76c3fe99cbd7db20e231aff0f76,656.7098999023,7567,298502,970.7872924805,712071,2147483647
"2021-12-01 04:52:22",000000000000000000035534a98e0695afe0026648b2f11565ddf7c77f6b077c,659.4960937500,7567,296749,970.7860717773,712069,2147483647
"2021-12-01 04:46:35",00000000000000000007fa05d86b27d78848469478274c86ee2795f980bf9696,659.4960937500,7567,296749,970.7860717773,712068,2147483647
"2021-12-01 04:36:28",000000000000000000009a2565e7d63b5f733a21a5cea842ef901cb7097156c8,674.9290771484,6706,298316,970.7885131836,712067,2147483647
"2021-12-01 04:35:38",000000000000000000064572e79fb677851d0dee970659abce6f7985a2420bc8,674.9290771484,6706,298316,970.7885131836,712066,2147483647
"2021-12-01 04:32:15",00000000000000000000a7adf2e4ff8b3d68495f8163e289611562c4bb213e90,674.9290771484,6706,296519,970.7885131836,712065,2147483647
"2021-12-01 04:30:51",0000000000000000000304322827b18d4097a75ea6329d950c8f99e444f6d593,686.1693725586,6706,296519,970.7899780273,712064,2147483647
"2021-12-01 04:28:11",00000000000000000004e6976cb5053c80962ca0ee8e21336e3b421733d607a8,687.1199951172,6706,298325,970.7899780273,712063,2147483647
"2021-12-01 04:22:48",00000000000000000001c71fbf33392bebbbbbbd28b996e15ebcae160ce807fb,682.4443969727,7085,301321,970.7899780273,712062,2147483647
"2021-12-01 04:20:20",000000000000000000089ca91030b3f533db3fab8be9301fb6c0dd76795f5033,686.1290283203,7085,298530,970.7888183594,712061,2147483647
"2021-12-01 04:11:43",00000000000000000003491968a919fe2de96033803588a765bdb6ef14032ab0,686.1290283203,7029,298530,970.7888183594,712060,2147483647
"2021-12-01 04:05:12",00000000000000000008e12efa847cdc3fc3db10569ca5c2d59ff824dd1880fd,686.4796752930,7029,296768,970.7877197266,712059,2147483647
"2021-12-01 03:54:29",0000000000000000000bcbb69d6ebe4aa0825be5f48c2bfa62e4ca2f728b998a,689.6934814453,5283,300470,970.7880249023,712058,2147483647
"2021-12-01 03:49:00",000000000000000000026daad9d59053760d07b5b9a76c4b43590ad5c7b0d197,689.6934814453,5283,300470,970.7880249023,712057,2147483647
"2021-12-01 03:45:51",000000000000000000005566e847f77f92e4a9c3162bf4faabecf1a1a605ee13,694.4508056641,5283,298276,970.7875976562,712056,2147483647
"2021-12-01 03:43:53",000000000000000000046377dbb2824fb39ba6f47097f873117e7f9879d8c8e0,694.4508056641,5283,298276,970.7875976562,712055,2147483647
"2021-12-01 03:32:32",000000000000000000092e7cc38721a620817061cff6670f9add6dd998db348d,692.3577270508,5283,297015,970.7844238281,712054,2147483647
"2021-12-01 03:13:06",0000000000000000000a2158bec3245de7a4d296672683d1f7ca0e0795ebb098,679.0159912109,2805,299013,970.7825927734,712053,2147483647
"2021-12-01 02:58:59",00000000000000000002a00526e15aaa6c8b0054ab947e6d9c4d810fb2c7b0ef,684.3120117188,2805,300505,970.7816162109,712052,2147483647
"2021-12-01 02:48:54",000000000000000000002c66dde35cb88e72b6677329bee96bb022e15a90fa25,691.2213134766,2805,297263,970.7811889648,712051,2147483647
"2021-12-01 02:48:01",00000000000000000001fcbd299313ad3f9d4254c21e13ea7915d037dbda85c6,691.2213134766,2805,297263,970.7811889648,712050,2147483647
"2021-12-01 02:47:21",00000000000000000009cdf022a931eba259a85c436ca6f88a4ff350250d4c42,691.2213134766,2805,297263,970.7811889648,712049,2147483647
"2021-12-01 02:28:44",00000000000000000004080f050699eaca58f68217d0cf074b3bfa18595b526e,696.7437744141,3700,299036,970.7805786133,712048,2147483647
"2021-12-01 02:27:05",000000000000000000056934ef4ba5a6a96a66d6c2042483c95db6c50b5d5937,696.7437744141,3700,299036,970.7805786133,712047,2147483647
"2021-12-01 02:23:25",000000000000000000059fc8ec9916f008d4d5d8dea58f6b267eb23535fd448e,696.7437744141,6744,299036,970.7805786133,712046,2147483647
"2021-12-01 02:03:12",0000000000000000000c6f609fc918aa7706e80a89186af246195bae59242f06,709.1250000000,5910,301275,970.7792968750,712045,2147483647
"2021-12-01 02:03:09",0000000000000000000441f44a6481a80f3655207e081f3e31077ccb39a40794,709.1250000000,5910,301275,970.7792968750,712044,2147483647
"2021-12-01 01:58:49",00000000000000000004ea7036acee29856a9b575cd778b0670cb4a95b8469d1,707.2893066406,5910,304121,970.7792968750,712043,2147483647
"2021-12-01 01:46:54",00000000000000000001359b7ef72f4688a70eeedcbe05f1c0730b3a4b17d1d8,711.7500000000,5795,297573,970.7785034180,712042,2147483647
"2021-12-01 01:44:02",00000000000000000004c526511e10d427ea1159c39c218dd5f4fe7b86868baf,712.0084838867,5795,297573,970.7741699219,712041,2147483647
"2021-12-01 01:41:19",000000000000000000030ceea5775d6da991002717ecf909acc593a9077bb13b,712.0084838867,3548,297573,970.7741699219,712040,2147483647
"2021-12-01 01:20:49",00000000000000000006336bd96a0226f5a3f6e9c18348dff57a96a3051f18d6,700.4188232422,4019,294287,970.7709960938,712039,2147483647
"2021-12-01 00:46:21",00000000000000000001cb7d9363f0951d6c2e167f1993813dd86b89c1eac8de,716.3361206055,7364,298201,970.7708129883,712038,2147483647
"2021-12-01 00:40:54",0000000000000000000bcc9a06c564d7a5139931dee5ab0da146b68a46fe8c7f,716.3361206055,7364,298201,970.7708129883,712037,2147483647
"2021-12-01 00:37:38",00000000000000000002c4502e231af749ddebf0012ad60730a8b65be3914418,719.1008300781,5486,299009,970.7691040039,712036,2147483647
