dt,open,high,low,close,volume
"2021-11-30 10:28:00",58948.8281250000,59053.8398437500,58911.0000000000,59037.2812500000,60.4967384338
"2021-11-30 10:27:00",58850.1289062500,58980.8085937500,58850.1210937500,58948.8398437500,45.8107299805
"2021-11-30 10:26:00",58879.6015625000,58888.0000000000,58800.0195312500,58850.1289062500,43.4403686523
"2021-11-30 10:25:00",58729.0000000000,58886.4492187500,58663.9218750000,58881.8789062500,35.3665390015
"2021-11-30 10:24:00",58627.8007812500,58750.1289062500,58545.0781250000,58730.6210937500,66.3763198853
"2021-11-30 10:23:00",58714.6718750000,58734.7187500000,58604.6914062500,58627.8007812500,47.2830314636
"2021-11-30 10:22:00",58716.7617187500,58783.6718750000,58691.1406250000,58715.6210937500,63.7631416321
"2021-11-30 10:21:00",58758.0585937500,58802.1406250000,58671.0117187500,58716.7695312500,87.7818527222
"2021-11-30 10:20:00",58839.2304687500,58894.0000000000,58734.3203125000,58763.9296875000,113.6232986450
"2021-11-30 10:19:00",58977.0000000000,59000.9882812500,58813.2382812500,58826.0195312500,74.6631469727
"2021-11-30 10:18:00",59094.4414062500,59110.8398437500,58929.1015625000,58977.0000000000,189.1291961670
"2021-11-30 10:17:00",58970.2812500000,59125.6093750000,58955.0507812500,59109.5000000000,228.6587982178
"2021-11-30 10:16:00",58790.0585937500,58998.0000000000,58775.3085937500,58973.6210937500,77.0164184570
"2021-11-30 10:15:00",58919.6210937500,58930.5390625000,58783.0703125000,58793.0585937500,78.6732635498
"2021-11-30 10:14:00",58999.0000000000,59000.0000000000,58895.8007812500,58910.8906250000,196.9818420410
"2021-11-30 10:13:00",58743.0117187500,59000.0000000000,58721.7304687500,58998.9882812500,268.8876647949
"2021-11-30 10:12:00",58699.9882812500,58789.0000000000,58631.6601562500,58743.0000000000,91.5760269165
"2021-11-30 10:11:00",58556.2812500000,58700.0000000000,58546.3203125000,58699.9882812500,95.1050491333
"2021-11-30 10:10:00",58561.8203125000,58600.2382812500,58448.8281250000,58556.2812500000,97.4925918579
"2021-11-30 10:09:00",58532.0781250000,58647.9882812500,58495.0117187500,58564.6210937500,196.5132598877
"2021-11-30 10:08:00",58410.2617187500,58532.0781250000,58389.5000000000,58530.4296875000,55.6934814453
"2021-11-30 10:07:00",58383.0117187500,58435.1289062500,58348.1914062500,58410.2500000000,39.2244491577
"2021-11-30 10:06:00",58460.0117187500,58478.6718750000,58351.0000000000,58387.6796875000,30.6250305176
"2021-11-30 10:05:00",58396.1796875000,58492.5390625000,58393.8007812500,58460.0117187500,41.0019798279
"2021-11-30 10:04:00",58350.4882812500,58396.8593750000,58343.0507812500,58382.9218750000,24.7939300537
"2021-11-30 10:03:00",58470.4101562500,58470.4414062500,58350.0000000000,58350.4882812500,33.5680503845
"2021-11-30 10:02:00",58387.8398437500,58469.3789062500,58377.7304687500,58469.3789062500,27.8592491150
"2021-11-30 10:01:00",58397.7382812500,58400.0000000000,58317.7382812500,58399.9882812500,29.4322795868
"2021-11-30 10:00:00",58411.4414062500,58411.4414062500,58347.9492187500,58394.6015625000,40.6079902649
"2021-11-30 09:59:00",58388.8398437500,58421.0000000000,58357.0507812500,58411.4296875000,125.8865127563
"2021-11-30 09:58:00",58339.8203125000,58391.4804687500,58326.8203125000,58391.2695312500,53.1537513733
"2021-11-30 09:57:00",58285.6914062500,58350.0000000000,58249.9882812500,58342.9101562500,39.2271804810
"2021-11-30 09:56:00",58271.6992187500,58319.9609375000,58263.5195312500,58285.6796875000,29.9517803192
"2021-11-30 09:55:00",58194.8906250000,58253.8281250000,58159.0000000000,58246.3281250000,17.1918392181
"2021-11-30 09:54:00",58141.1796875000,58215.8710937500,58132.7695312500,58194.8906250000,38.4108314514
"2021-11-30 09:53:00",58144.7812500000,58180.9492187500,58129.4804687500,58141.1914062500,19.2109107971
"2021-11-30 09:52:00",58114.6484375000,58192.7187500000,58108.0312500000,58148.7382812500,24.9384708405
"2021-11-30 09:51:00",58104.3281250000,58179.2500000000,58102.9101562500,58114.6484375000,59.6847000122
"2021-11-30 09:50:00",58130.0000000000,58162.7109375000,58093.5898437500,58100.0000000000,18.2384490967
"2021-11-30 09:49:00",58122.1992187500,58148.0117187500,58103.0117187500,58130.0000000000,22.5460395813
"2021-11-30 09:48:00",58176.3906250000,58203.2187500000,58128.0000000000,58128.0000000000,37.1141815186
"2021-11-30 09:47:00",58226.3085937500,58226.3085937500,58137.0312500000,58183.5390625000,43.7269706726
"2021-11-30 09:46:00",58226.3085937500,58226.3085937500,58223.7617187500,58226.3085937500,0.0527600013
"2021-11-30 09:45:00",58171.1601562500,58196.0390625000,58136.7812500000,58196.0195312500,24.0934791565
"2021-11-30 09:44:00",58142.7890625000,58209.2890625000,58138.2617187500,58175.4804687500,26.3427200317
"2021-11-30 09:43:00",58142.0390625000,58203.5781250000,58119.2187500000,58142.8007812500,37.5210113525
"2021-11-30 09:42:00",58142.0390625000,58142.0507812500,58142.0390625000,58142.0390625000,0.0298800003
"2021-11-30 09:41:00",58094.3984375000,58259.8593750000,58094.3984375000,58135.2109375000,66.3101196289
"2021-11-30 09:40:00",58094.3984375000,58098.0117187500,58094.3984375000,58098.0117187500,0.4398100078
"2021-11-30 09:39:00",58239.5703125000,58280.0000000000,58079.7695312500,58117.6289062500,98.1256332397
"2021-11-30 09:38:00",58149.3906250000,58229.5117187500,58136.9296875000,58229.5117187500,37.5460090637
"2021-11-30 09:37:00",58247.8281250000,58259.9882812500,58106.4492187500,58149.3906250000,75.9661026001
"2021-11-30 09:36:00",58240.7187500000,58331.0703125000,58240.6992187500,58251.5390625000,25.9255409241
"2021-11-30 09:35:00",58256.0390625000,58259.0000000000,58196.9687500000,58237.0117187500,27.1432094574
"2021-11-30 09:34:00",58252.1992187500,58273.0000000000,58240.4218750000,58256.0390625000,14.1970901489
"2021-11-30 09:33:00",58260.8710937500,58331.0781250000,58225.8085937500,58256.8515625000,41.1513214111
"2021-11-30 09:32:00",58260.8710937500,58260.8789062500,58260.8710937500,58260.8789062500,0.0257699993
"2021-11-30 09:31:00",58253.2890625000,58259.2187500000,58253.2890625000,58258.0390625000,0.0562000014
"2021-11-30 09:30:00",58387.0117187500,58418.3515625000,58334.1093750000,58334.1093750000,32.2750892639
"2021-11-30 09:29:00",58520.9804687500,58520.9804687500,58342.4101562500,58394.0898437500,40.6091117859
"2021-11-30 09:28:00",58418.8203125000,58545.4101562500,58400.0000000000,58520.9804687500,131.9978027344
"2021-11-30 09:27:00",58429.1718750000,58432.4296875000,58370.6484375000,58417.2812500000,14.1500301361
"2021-11-30 09:26:00",58370.7890625000,58437.9882812500,58314.0000000000,58424.7500000000,28.7319793701
"2021-11-30 09:25:00",58370.7890625000,58370.8007812500,58370.7890625000,58370.8007812500,0.0948600024
